n,m,dims,k,time_dist,time_sort,serial_parallel,distance_function,sort_function
200,50,2,5,0.000548,0.004847,serial,euclidean,insertion
200,50,2,5,0.001857,0.000386,parallel,euclidean,insertion
200,150,2,5,0.001601,0.012522,serial,euclidean,insertion
200,150,2,5,0.000281,0.001016,parallel,euclidean,insertion
200,250,2,5,0.002464,0.020297,serial,euclidean,insertion
200,250,2,5,0.000395,0.001470,parallel,euclidean,insertion
200,350,2,5,0.002970,0.027855,serial,euclidean,insertion
200,350,2,5,0.000526,0.001991,parallel,euclidean,insertion
200,450,2,5,0.003563,0.035731,serial,euclidean,insertion
200,450,2,5,0.000586,0.002645,parallel,euclidean,insertion
300,50,2,5,0.000825,0.009644,serial,euclidean,insertion
300,50,2,5,0.000203,0.000850,parallel,euclidean,insertion
300,150,2,5,0.002376,0.026858,serial,euclidean,insertion
300,150,2,5,0.000383,0.002071,parallel,euclidean,insertion
300,250,2,5,0.003188,0.044473,serial,euclidean,insertion
300,250,2,5,0.003047,0.003920,parallel,euclidean,insertion
300,350,2,5,0.004305,0.074808,serial,euclidean,insertion
300,350,2,5,0.004945,0.012571,parallel,euclidean,insertion
300,450,2,5,0.004858,0.080532,serial,euclidean,insertion
300,450,2,5,0.011889,0.015608,parallel,euclidean,insertion
400,50,2,5,0.001082,0.016453,serial,euclidean,insertion
400,50,2,5,0.002719,0.003730,parallel,euclidean,insertion
400,150,2,5,0.002803,0.049703,serial,euclidean,insertion
400,150,2,5,0.003186,0.008936,parallel,euclidean,insertion
400,250,2,5,0.003954,0.079383,serial,euclidean,insertion
400,250,2,5,0.003687,0.017410,parallel,euclidean,insertion
400,350,2,5,0.004999,0.110998,serial,euclidean,insertion
400,350,2,5,0.016565,0.017871,parallel,euclidean,insertion
400,450,2,5,0.006070,0.143103,serial,euclidean,insertion
400,450,2,5,0.006225,0.021039,parallel,euclidean,insertion
500,50,2,5,0.001367,0.024976,serial,euclidean,insertion
500,50,2,5,0.000828,0.002487,parallel,euclidean,insertion
500,150,2,5,0.003170,0.073276,serial,euclidean,insertion
500,150,2,5,0.006470,0.016214,parallel,euclidean,insertion
500,250,2,5,0.005099,0.122437,serial,euclidean,insertion
500,250,2,5,0.013506,0.017833,parallel,euclidean,insertion
500,350,2,5,0.006002,0.176712,serial,euclidean,insertion
500,350,2,5,0.010434,0.022396,parallel,euclidean,insertion
500,450,2,5,0.007291,0.219997,serial,euclidean,insertion
500,450,2,5,0.008254,0.026783,parallel,euclidean,insertion
600,50,2,5,0.001012,0.038551,serial,euclidean,insertion
600,50,2,5,0.002506,0.004532,parallel,euclidean,insertion
600,150,2,5,0.003614,0.111853,serial,euclidean,insertion
600,150,2,5,0.003603,0.011925,parallel,euclidean,insertion
600,250,2,5,0.005405,0.192882,serial,euclidean,insertion
600,250,2,5,0.009286,0.031050,parallel,euclidean,insertion
600,350,2,5,0.006690,0.244713,serial,euclidean,insertion
600,350,2,5,0.007457,0.025601,parallel,euclidean,insertion
600,450,2,5,0.008344,0.315048,serial,euclidean,insertion
600,450,2,5,0.012428,0.036080,parallel,euclidean,insertion
200,50,2,5,0.000258,0.004993,serial,manhattan,insertion
200,50,2,5,0.002353,0.006543,parallel,manhattan,insertion
200,150,2,5,0.000760,0.012694,serial,manhattan,insertion
200,150,2,5,0.003864,0.004476,parallel,manhattan,insertion
200,250,2,5,0.001253,0.020607,serial,manhattan,insertion
200,250,2,5,0.003068,0.010636,parallel,manhattan,insertion
200,350,2,5,0.001807,0.028046,serial,manhattan,insertion
200,350,2,5,0.003775,0.006878,parallel,manhattan,insertion
200,450,2,5,0.002267,0.036011,serial,manhattan,insertion
200,450,2,5,0.005072,0.008781,parallel,manhattan,insertion
300,50,2,5,0.000374,0.010780,serial,manhattan,insertion
300,50,2,5,0.002236,0.000885,parallel,manhattan,insertion
300,150,2,5,0.001107,0.030037,serial,manhattan,insertion
300,150,2,5,0.002256,0.005654,parallel,manhattan,insertion
300,250,2,5,0.001416,0.052782,serial,manhattan,insertion
300,250,2,5,0.004176,0.015014,parallel,manhattan,insertion
300,350,2,5,0.002510,0.062737,serial,manhattan,insertion
300,350,2,5,0.008056,0.012354,parallel,manhattan,insertion
300,450,2,5,0.002956,0.080859,serial,manhattan,insertion
300,450,2,5,0.005365,0.012778,parallel,manhattan,insertion
400,50,2,5,0.000494,0.017789,serial,manhattan,insertion
400,50,2,5,0.002681,0.005063,parallel,manhattan,insertion
400,150,2,5,0.001482,0.048100,serial,manhattan,insertion
400,150,2,5,0.002368,0.007673,parallel,manhattan,insertion
400,250,2,5,0.002414,0.087508,serial,manhattan,insertion
400,250,2,5,0.006481,0.012629,parallel,manhattan,insertion
400,350,2,5,0.002997,0.110776,serial,manhattan,insertion
400,350,2,5,0.010026,0.013370,parallel,manhattan,insertion
400,450,2,5,0.003656,0.142457,serial,manhattan,insertion
400,450,2,5,0.009932,0.015600,parallel,manhattan,insertion
500,50,2,5,0.000611,0.028477,serial,manhattan,insertion
500,50,2,5,0.002547,0.007807,parallel,manhattan,insertion
500,150,2,5,0.001829,0.083954,serial,manhattan,insertion
500,150,2,5,0.006586,0.012269,parallel,manhattan,insertion
500,250,2,5,0.002781,0.122002,serial,manhattan,insertion
500,250,2,5,0.006767,0.020766,parallel,manhattan,insertion
500,350,2,5,0.003612,0.171040,serial,manhattan,insertion
500,350,2,5,0.012198,0.023185,parallel,manhattan,insertion
500,450,2,5,0.004400,0.220137,serial,manhattan,insertion
500,450,2,5,0.007896,0.039761,parallel,manhattan,insertion
600,50,2,5,0.000741,0.035756,serial,manhattan,insertion
600,50,2,5,0.002766,0.011007,parallel,manhattan,insertion
600,150,2,5,0.002144,0.104836,serial,manhattan,insertion
600,150,2,5,0.006243,0.014971,parallel,manhattan,insertion
600,250,2,5,0.003087,0.175282,serial,manhattan,insertion
600,250,2,5,0.012789,0.021366,parallel,manhattan,insertion
600,350,2,5,0.003986,0.244911,serial,manhattan,insertion
600,350,2,5,0.007177,0.029731,parallel,manhattan,insertion
600,450,2,5,0.004902,0.315710,serial,manhattan,insertion
600,450,2,5,0.011494,0.033368,parallel,manhattan,insertion
10000,50,2,5,0.013317,0.067731,serial,euclidean,quick
10000,50,2,5,0.003488,0.008686,parallel,euclidean,quick
10000,150,2,5,0.041997,0.226697,serial,euclidean,quick
10000,150,2,5,0.014389,0.023500,parallel,euclidean,quick
